00: Title=TSOF          Code=301  State=                Start=223 End=223 Line=28 Sumbol=1
01: Title=_int          Code=33   State=int             Start=0   End=3   Line=0 Sumbol=0
02: Title=TID           Code=1    State=f               Start=4   End=5   Line=0 Sumbol=4
03: Title=TSave         Code=8    State==               Start=6   End=7   Line=0 Sumbol=6
04: Title=TConstChar    Code=7    State='0'             Start=8   End=11  Line=0 Sumbol=8
05: Title=TTZpt         Code=22   State=;               Start=11  End=12  Line=0 Sumbol=11
06: Title=_int          Code=33   State=int             Start=14  End=17  Line=2 Sumbol=1
07: Title=TID           Code=1    State=func            Start=18  End=22  Line=2 Sumbol=5
08: Title=TLS           Code=25   State=(               Start=22  End=23  Line=2 Sumbol=9
09: Title=TRS           Code=26   State=)               Start=23  End=24  Line=2 Sumbol=10
10: Title=TFLS          Code=27   State={               Start=24  End=25  Line=2 Sumbol=11
11: Title=_int          Code=33   State=int             Start=27  End=30  Line=4 Sumbol=1
12: Title=TID           Code=1    State=g               Start=31  End=32  Line=4 Sumbol=5
13: Title=TTZpt         Code=22   State=;               Start=32  End=33  Line=4 Sumbol=6
14: Title=TFRS          Code=28   State=}               Start=36  End=37  Line=7 Sumbol=1
15: Title=_int          Code=33   State=int             Start=39  End=42  Line=9 Sumbol=1
16: Title=TID           Code=1    State=main            Start=43  End=47  Line=9 Sumbol=5
17: Title=TLS           Code=25   State=(               Start=47  End=48  Line=9 Sumbol=9
18: Title=TRS           Code=26   State=)               Start=48  End=49  Line=9 Sumbol=10
19: Title=TFLS          Code=27   State={               Start=50  End=51  Line=10 Sumbol=1
20: Title=_int          Code=33   State=int             Start=53  End=56  Line=11 Sumbol=2
21: Title=TID           Code=1    State=i               Start=57  End=58  Line=11 Sumbol=6
22: Title=TTZpt         Code=22   State=;               Start=58  End=59  Line=11 Sumbol=7
23: Title=_for          Code=4    State=for             Start=61  End=64  Line=12 Sumbol=2
24: Title=TLS           Code=25   State=(               Start=64  End=65  Line=12 Sumbol=5
25: Title=TID           Code=1    State=i               Start=65  End=66  Line=12 Sumbol=6
26: Title=TSave         Code=8    State==               Start=66  End=67  Line=12 Sumbol=7
27: Title=TID           Code=1    State=i               Start=67  End=68  Line=12 Sumbol=8
28: Title=TTZpt         Code=22   State=;               Start=68  End=69  Line=12 Sumbol=9
29: Title=TID           Code=1    State=i               Start=70  End=71  Line=12 Sumbol=11
30: Title=TLT           Code=11   State=<               Start=72  End=73  Line=12 Sumbol=13
31: Title=TConstInt     Code=2    State=10              Start=74  End=76  Line=12 Sumbol=15
